movie_id,title,genre,overview,rating,release_year
1,Inception,Sci-Fi Action,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",8.8,2010
2,Interstellar,Sci-Fi Drama,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",8.7,2014
3,The Dark Knight,Action Crime Drama,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",9.0,2008
4,The Matrix,Sci-Fi Action,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",8.7,1999
5,Pulp Fiction,Crime Drama,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertw in four tales of violence and redemption in Los Angeles.",8.9,1994
6,The Shawshank Redemption,Drama,"Over the course of several years, two convicts form a friendship, seeking consolation and eventual redemption through basic compassion in Shawshank prison.",9.3,1994
7,Forrest Gump,Drama Romance,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",8.8,1994
8,Avatar,Sci-Fi Action Fantasy,"A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.",7.9,2009
9,Gladiator,Action Drama Adventure,"A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",8.5,2000
10,The Avengers,Action Sci-Fi Superhero,"Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.",8.0,2012
11,Jurassic Park,Sci-Fi Adventure Thriller,"A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.",8.2,1993
12,Titanic,Drama Romance History,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",7.9,1997
13,The Silence of the Lambs,Crime Drama Thriller,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",8.6,1991
14,Spirited Away,Animation Adventure Fantasy,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.",8.6,2001
15,Parasite,Thriller Drama Comedy,"Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",8.5,2019
16,Whiplash,Drama Music,"A promising young drummer enlists at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",8.5,2014
17,Spider-Man: Into the Spider-Verse,Animation Superhero Sci-Fi,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",8.4,2018
18,The Social Network,Biography Drama,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.",7.8,2010
19,La La Land,Comedy Drama Music Romance,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",8.0,2016
20,Coco,Animation Adventure Family Fantasy,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",8.4,2017
